Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
Gamerji,Gaming,Seed,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",121793941.14254577,2020
5C Network,HealthTech,Pre-series A,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",1200000.0,2020
Ethereum Push Notification Service,Blockchain,Seed,Mumbai,EPNS is a decentralized notification protocol,750000.0,2020
Mihup,Conversational AI platform,Series A,Kolkata,Intelligence-based personal mobile assistant app,1500000.0,2020
RuralBasket,E-Commerce,Undisclosed,Tirunelveli,Naturally grown and healthy products directly from farmers.,500000.0,2020
WayCool Foods,AgriTech,Debt,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",7800000.0,2020
Infra.Market,Real Estate,Series B,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,20000000.0,2020
Info Edge Venture,Venture Capital,Undisclosed,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",50000000.0,2020
Clovia,E-Commerce,Pre Series C,Noida,Clovia is the online lingerie retailer,4000000.0,2020
Codingal,EdTech,Seed,Bangalore,Coding education platform for K-12 students,560000.0,2020
CRED,Finance,Series C,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,80000000.0,2020
Vistaar Finance,Finance,Undisclosed,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,30000000.0,2020
Let's Dive,SaaS platform,Undisclosed,Bangalore,A platform for remote employee engagement and building team culture,1700000.0,2020
Habitat,EdTech,Seed,n/a,"Habitat, a social learning edtech platform for civil service aspirants",600000.0,2020
SAWO Labs,SaaS platform,Seed,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,600000.0,2020
Signzy,AI Platform,Undisclosed,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,3000000.0,2020
KopyKitab,EdTech,Undisclosed,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",121793941.14254577,2020
Kyt,EdTech,Undisclosed,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2500000.0,2020
Raskik,Fusion beverages,Pre-series A,n/a,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,1000000.0,2020
GetWork,HRTech,Pre-seed,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,40000.0,2020
Mobile Premier League (MPL),Gaming,Series B,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,500000.0,2020
Pravasirojgar,Job portal,Undisclosed,n/a,Initiative for blue-collar job workers,33000000.0,2020
Omatra Hotels,Hospitality,Seed,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,121793941.14254577,2020
Awign,Job portal,Pre-series B,Bangalore,Operations and manpower outsourcing startup,121793941.14254577,2020
NewsReach,Digital Media,Seed,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,1500000.0,2020
Cashfree,FinTech,Series B,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,35000000.0,2020
Credgenics,FinTech,Pre-series A,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3000000.0,2020
GeoIQ,AI,Seed,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",300000.0,2020
Country Delight,Dairy,Series C,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,25000000.0,2020
Quintype,Content management,Series A,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",3500000.0,2020
CARS24,Retail,Series E,Haryana,CARS24 is an India-based platform for selling used cars.,200000000.0,2020
Astrogate Labs,SpaceTech,Undisclosed,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,121793941.14254577,2020
Power Gummies,HealthTech,Bridge,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,121793941.14254577,2020
Cityflo,Transport,Series A,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,7000000.0,2020
AlgoBulls,Trading Platform,Undisclosed,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,200000.0,2020
Credgenics,FinTech,Pre-series A,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3000000.0,2020
Inntot,Tech,Undisclosed,Kerala,"Inntot Technologies, is a technology driven company.",121793941.14254577,2020
Ensuredit,FinTech,Pre-series A,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,300000.0,2020
Shipsy,AI,Series A,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,6000000.0,2020
ERPNext,Tech,Undisclosed,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",1000000.0,2020
LightSpeedAI,Photonics startup,Undisclosed,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,121793941.14254577,2020
Grip Invest,FinTech,Pre-series A,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,121793941.14254577,2020
Unacademy,EdTech,Undisclosed,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,121793941.14254577,2020
Yellow Classes,EdTech,Pre-series A,Gurugram,New-age fun-learning platform for kids.,1300000.0,2020
Plum,HealthTech,Undisclosed,Bangalore,High quality health insurance and health benefits,4100000.0,2020
STAGE,Entertainment,Undisclosed,Indore,STAGE is an Indian language content platform for artist-led entertainment.,1000000.0,2020
Nykaa,Cosmetics,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,121793941.14254577,2020
Kaagaz Scanner,Scanning app,Undisclosed,n/a,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,575000.0,2020
NIRA,FinTech,Undisclosed,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",1000000.0,2020
Prolixr,Skincare startup,Seed,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,121793941.14254577,2020
Byju's,EdTech,Undisclosed,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,200000000.0,2020
DaMENSCH,E-Commerce,Undisclosed,Bangalore,DaMENSCH is a designer and seller of men's apparel.,6000000.0,2020
Country Delight,Food and Beverages,Series C,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,25000000.0,2020
SignalX,AI,Seed,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,800000.0,2020
Lancify,EdTech,Undisclosed,Bangalore,Lancify is building the world's strongest young workforce,300000.0,2020
Krimanshi,BioTechnology,Seed,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,600000.0,2020
Instoried,AI,Pre-series A,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,1000000.0,2020
PlayerzPot,Gaming,Series A,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",3000000.0,2020
Instamojo,FinTech,Undisclosed,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",121793941.14254577,2020
Turtlemint,HealthTech,Undisclosed,Mumbai,Turtlemint has built Indian personalized insurance platform,30000000.0,2020
Arata,E-Commerce,Pre-series A,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,1000000.0,2020
MPL,Gaming,Undisclosed,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,5000000.0,2020
True Balance,FinTech,Undisclosed,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,28000000.0,2020
Thrive,FoodTech,Pre-series A,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",121793941.14254577,2020
Kitchens Centre,Proptech,Pre-series A,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,121793941.14254577,2020
Prescribe,HealthTech,Undisclosed,Chennai,Provide online services to patients by leveraging WhatsApp.,100000.0,2020
Nepra,CleanTech,Series C,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,18000000.0,2020
inFeedo,SaaS,Undisclosed,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",3200000.0,2020
Shilpa Sciences,HealthTech,Pre-series A,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,121793941.14254577,2020
Arzooo,Tech,Undisclosed,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",121793941.14254577,2020
MindTickle,SaaS platform,Debt,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,100000000.0,2020
Slice,FinTech,Debt,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,5000000.0,2020
Rapawalk,E-Commerce,Seed,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,300000.0,2020
Oga Fit's,Fitness,Pre-series A,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,121793941.14254577,2020
LAVAL,Cosmetics,Pre-series A,Bangalore,"Laval Cosmetics, affordable makeup for all ages",121793941.14254577,2020
Stride Ventures,Venture Capital,Undisclosed,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,80000000.0,2020
BlackSoil,FinTech,Undisclosed,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,10000000.0,2020
Biocon,Health Care,Undisclosed,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",15000000.0,2020
Clientjoy,SaaS,Pre-series A,Gujarat,Client Management Software For Modern Agencies.,800000.0,2020
Xpressbees,E-Commerce,Undisclosed,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,100000000.0,2020
GalaxyCard,FinTech,Seed,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,121793941.14254577,2020
Wellness Forever,HealthTech,Undisclosed,Mumbai,Wellness Forever is the one-stop destination for wellness,100000000.0,2020
MoooFarm,AgriTech,Pre-seed,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,500000.0,2020
BitClass,PaaS startup,Seed,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2000000.0,2020
Gonuts,Entertainment,Seed,Mumbai,Personalised Video shoutouts from favourite celebrity.,400000.0,2020
Uolo,EdTech,Seed,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2000000.0,2020
Kirana King,Retail,Pre-series A,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",900000.0,2020
Jade Forest,Beverages,Seed,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",250000.0,2020
iKure,HealthTech,Undisclosed,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,121793941.14254577,2020
FrontRow,EdTech,Seed,Bangalore,"Comprehensive courses, taught by idols.",3200000.0,2020
Reliance Retail,E-Commerce,Undisclosed,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,10000000.0,2020
TUBBR,Social Media,Undisclosed,Frisco,World's First Personal Social Network,121793941.14254577,2020
Ather Energy,Automobile,Series D,Bangalore,Ather Energy is a manufacturer of electric scooters.,35000000.0,2020
Routematic,SaaS,Undisclosed,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2000000.0,2020
LivFin,FinTech,Undisclosed,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),4700000.0,2020
Universal Sportsbiz Pvt Ltd,Fashion,Undisclosed,Bangalore,A fashion startup based in Bengaluru.,121793941.14254577,2020
Lattu Kids,EdTech,Undisclosed,Mumbai,Lattu kids is an edutainment platform for preschool kids.,121793941.14254577,2020
Eggoz,Food & Beverages,Pre-series A,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",1500000.0,2020
Steradian Semiconductors,Deeptech,Undisclosed,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,121793941.14254577,2020
CHARGE+ZONE,EV,Pre-series A,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",3000000.0,2020
Stones2milestones,EdTech,Bridge,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2000000.0,2020
Udacity,EdTech,Debt,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",75000000.0,2020
AjnaLens,AR/VR,Bridge,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",1000000.0,2020
Gully Network,E-Commerce,Pre-series A,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,1200000.0,2020
TurboHire,Recruitment,Seed,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,1000000.0,2020
Traya,HealthTech,Seed,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,121793941.14254577,2020
Charcoal Eats,QSR startup,Undisclosed,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2000000.0,2020
Mitron TV,Video platform,Undisclosed,Bangalore,Mitron is a free short videoplatform for next generation,121793941.14254577,2020
Svami,Food & Beverages,Undisclosed,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,800000.0,2020
Dhurnia,EdTech,Undisclosed,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,100000.0,2020
Expertrons,EdTech,Undisclosed,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,121793941.14254577,2020
Leena AI,AI,Undisclosed,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,8000000.0,2020
Bizlog,Logistics,Undisclosed,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,1000000.0,2020
Tamasha.live,Gaming,Undisclosed,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",300000.0,2020
Fedo,AI,Undisclosed,Bangalore,Artificial Intelligence based Credit Score for Health,1000000.0,2020
FabHotels,Hospitality,Undisclosed,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,1000000.0,2020
Freshokartz,AgriTech,Pre-series A,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",1000000.0,2020
FlexiLoans,FinTech,Debt,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",6000000.0,2020
Agrix,AgriTech,Undisclosed,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",121793941.14254577,2020
BharatAgri,AgriTech,Pre-series A,Pune,A Smart Farming Technology Platform for Indian Farmers,121793941.14254577,2020
FreshtoHome,E-Commerce,Series C,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,121000000.0,2020
Credable,FinTech,Undisclosed,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,4500000.0,2020
Railofy,Transport,Seed,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,5000000.0,2020
Finova Capital,FinTech,Undisclosed,Jaipur,Finova Capital is a non-banking financial company.,55000000.0,2020
Teachmint,EdTech,Seed,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,3500000.0,2020
Peel-Works,E-Commerce,Undisclosed,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,3000000.0,2020
Janani,Fertility tech,Pre-seed,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,200000.0,2020
Credgenics,FinTech,Seed,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3300000.0,2020
Finelistings,Luxury car startup,Undisclosed,New Delhi,A Used Luxury Car Marketplace,121793941.14254577,2020
Wellversed,Health Care,Pre-series A,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,121793941.14254577,2020
Jumbotail,E-Commerce,Series B2,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",11000000.0,2020
Winzo,Gaming,Undisclosed,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2000000.0,2020
mCaffeine,Cosmetics,Series B,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",5000000.0,2020
Pocket FM,FM,Series A,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,5000000.0,2020
Snackible,Health Care,Bridge,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,121793941.14254577,2020
FreshtoHome,E-Commerce,Undisclosed,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,16000000.0,2020
Jumbotail,Retail,Series B2,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,11000000.0,2020
Nykaa,E-Commerce,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,121793941.14254577,2020
TagZ Foods,Food,Undisclosed,Bangalore,TagZ Foods is a supplier of snacks and food products.,121793941.14254577,2020
Genius Teacher,EdTech,Undisclosed,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2000000.0,2020
Krimanshi Feeds,Nutrition,Undisclosed,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,500000.0,2020
Origo,AgriTech,Debt,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,4000000.0,2020
GetVantage,FinTech,Seed,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,5000000.0,2020
Betterplace,Tech platform,Series B,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,10000000.0,2020
Biddano,Health Care,Pre-series A,Mumbai,India's 1st tech-enabled healthcare logistics platform.,600000.0,2020
InVideo,Video,Series A,Mumbai,InVideo enables you to transform your content into great videos.,15000000.0,2020
Arzooo,Retail Tech,Series A,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",7500000.0,2020
Hubilo,Tech,Seed,San Francisco,World’s smartest virtual event platform that brings Experience & Intelligence together,4500000.0,2020
BASIC Home Loan,FinTech,Seed,Gurugram,"A platform for automating home loans for middle and low-income households in India,",5000000.0,2020
Ketos,AI,Undisclosed,San Francisco,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,18000000.0,2020
SUGAR cosmetics,Cosmetics,Debt,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2000000.0,2020
Signzy,FinTech,Undisclosed,Bangalore,It is creating 'building blocks for a Digital Trust system.,5400000.0,2020
Ahaguru,EdTech,Series A,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",121793941.14254577,2020
Tekion,AI,Series C,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,150000000.0,2020
Brighteye Ventures,EdTech,Undisclosed,Paris,Education technology venture capital firm.,5400000.0,2020
EzeRx,Med Tech,Seed,Kolkata,Developer and manufacturer of medical devices,200000.0,2020
VitalTech,HealthTech,Seed,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",3000000.0,2020
Ultraviolette Automotive,Automobile,Series B,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,4000000.0,2020
Tring,Social Media,Undisclosed,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",121793941.14254577,2020
Rare Planet,Retail,Pre-series A,Kolkata,Rare Planet sells handicrafts made by local artisans.,400000.0,2020
GoodGamer,Gaming,Seed,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2500000.0,2020
InnAccel,Med Tech,Pre-series A,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",1500000.0,2020
Tiliter,Retail,Undisclosed,Sydney,Software that uses computer vision to recognise products without barcodes,7500000.0,2020
Slintel,Sales and marketing,Undisclosed,San Francisco,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",4200000.0,2020
SoOLEGAL,LegalTech,Undisclosed,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",4000000.0,2020
HobSpace,EdTech,Seed,Mumbai,India's Activity Hub for Kids,200000.0,2020
Supplynote,SaaS,Seed,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,500000.0,2020
Hire Me Car,Car Service,Seed,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,121793941.14254577,2020
ShopUp,E-Commerce,Series A,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",22000000.0,2020
Harmonizer India,Tech,Undisclosed,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",121793941.14254577,2020
Zomato,FoodTech,Undisclosed,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,52000000.0,2020
Dukaan,Tech,Seed,Mumbai,Developer of an android application designed for businesses to sell online.,6000000.0,2020
CredR,Bike marketplace,Undisclosed,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2000000.0,2020
Satyukt,AgriTech,Seed,Bangalore,An agritech company that provides business to business (B2B) agricultural data,500000.0,2020
RACEnergy,Automobile,Undisclosed,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,121793941.14254577,2020
TREAD,Fitness,Pre-seed,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,1100000.0,2020
Anveshan,FoodTech,Pre-seed,Bangalore,Provide quality and healthy food products,100000.0,2020
TeaMonk,Food & Beverages,Pre-series A,Bangalore,India's Finest Specialty Tea company.,900000.0,2020
Fleetx,Tech,Pre-series B,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",3000000.0,2020
ReNEWate,Real Estate,Pre-seed,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",121793941.14254577,2020
Tango Eye,SaaS,Seed,Chennai,Retail Video Analytics SaaS product,121793941.14254577,2020
Rare Planet,Retail,Pre-series A,Kolkata,Rare Planet sells handicrafts made by local artisans.,121793941.14254577,2020
Avataa Me,AR platform,Series A,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,7000000.0,2020
Arrival,EV,Undisclosed,London,Arrival is a technology company that specializes in developing electric vehicles.,118000000.0,2020
Cover Genius,FinTech,Undisclosed,Sydney,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,15000000.0,2020
Phononic Vibes,Deeptech,Undisclosed,Milano,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2300000.0,2020
MikeLegal,LegalTech,Seed,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,121793941.14254577,2020
Clair,FinTech,Seed,New York,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,4500000.0,2020
Gourmet Garden,Consumer Goods,Undisclosed,Palmwoods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,121793941.14254577,2020
Miko,AI,Pre-series B,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",3000000.0,2020
Razorpay,FinTech,Series D,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",100000000.0,2020
Ninjacart,Food Industry,Undisclosed,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",30000000.0,2020
Wow! Momo,Food Industry,Debt,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,5000000.0,2020
Pepper Content,Content Marktplace,Series A,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,4200000.0,2020
LIVSPACE,Interior Design,Debt,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",4000000.0,2020
Acculi Labs,Health Care,Seed,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,600000.0,2020
Your MD,Health Care,Undisclosed,London,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,25000000.0,2020
Antaios,Tech,Undisclosed,France,Developer of memory-based technology intended to solve issues of advanced computing.,11000000.0,2020
Unnati,AgriTech,Pre-series A,Noida,A helping hand to the farming community through Artificial Intelligence,1700000.0,2020
Disprz,EdTech,Pre-series B,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",1600000.0,2020
Uni,FinTech,Seed,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,18500000.0,2020
Credit Wise Capital,FinTech,Seed,Mumbai,CreditWise Capital is a consumer finance company.,6000000.0,2020
Chargebee,SaaS,Series F,San Francisco,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,55000000.0,2020
Reliance Retail Ventures Ltd,Retail,Undisclosed,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",70000000000.0,2020
Winuall,EdTech,Undisclosed,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2000000.0,2020
Genrobotics,AI,Undisclosed,Trivandrum,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,300000.0,2020
Livve,Rental space,Seed,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,1500000.0,2020
Ergos,AgriTech,Series A,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,5000000.0,2020
Krishitantra,Soil-Tech,Seed,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,1000000.0,2020
PakkaProfile,Recruitment,Seed,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",121793941.14254577,2020
Monet Networks,AI,Bridge,Irvine,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,500000.0,2020
Unocoin,FinTech,Series A,Tumkur,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",121793941.14254577,2020
Pesto,EdTech,Undisclosed,New Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,121793941.14254577,2020
NirogStreet,Ayurveda tech,Pre-series A,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2000000.0,2020
Bambrew,Packaging solution startup,Pre-seed,Bangalore,Bambrew is an online shop for reusable bamboo straws.,121793941.14254577,2020
Omnify,SaaS,Pre-series A,San Francisco,Omnify is a Global SaaS platform for Small Services Business,121793941.14254577,2020
Fanball XI,Gaming,Seed,New Delhi,The gaming company mostly focused on fantasy football games,1000000.0,2020
